model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
RandomForest,Technology,0.5037291843465334,0.4993500358018236,0.5868970152424577,0.5184237654970635,0.6782537169142591,-0.0068917638649296,0.5257099766734903,0.5207272871072695,74119.0,,,,,,,,,,1
RandomForest,Utilities,0.5040051182561518,0.5016408519637957,0.5528407030312338,0.5252391092395176,0.5854784866046803,0.0001730849449464,0.5252836404191156,0.5252836404191156,29726.0,,,,,,,,,,1
XGBoost,Basic Materials,0.4994655333883709,0.497927622055789,0.541018485460803,0.5074666693179793,0.580927829976127,-0.0028469634536722,0.514845982961718,0.508647102204077,21921.0,,,,,,,,,,1
XGBoost,Communication Services,0.5097326413522305,0.5078845961359532,0.5476760073206132,0.5191391600117239,0.5840442677373548,0.0190646193066108,0.5190457190538714,0.5112677077021791,23089.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,0.504258433029744,0.5008916622430735,0.573451232804215,0.5107523633276297,0.6543581586514375,0.0022907169885734,0.5099243958279593,0.5099243958279593,61460.0,,,,,,,,,,1
XGBoost,Consumer Defensive,0.5052843945829366,0.5047799443509049,0.5827752274748088,0.5130504275126163,0.6762299700588144,0.0035236708932587,0.5125252854577058,0.5119408008668451,38122.0,,,,,,,,,,1
XGBoost,Energy,0.4962852354487713,0.4968352669794406,0.5066169253715118,0.5216327265254174,0.5056947694266573,-0.0065930244844245,0.5253157689907955,0.5126782657930468,21149.0,,,,,,,,,,1
XGBoost,Financial Services,0.5130505110889715,0.5070423432797941,0.5938917250814633,0.5304632163606706,0.6811932160470588,0.0095321787587037,0.5299162164253748,0.526756377837043,70008.0,,,,,,,,,,1
XGBoost,Healthcare,0.5010979398554017,0.4982664795806696,0.5634562608465462,0.5124373163808972,0.6301809776144419,-0.0033071051615593,0.513788202465688,0.513788202465688,62173.0,,,,,,,,,,1
XGBoost,Industrials,0.5055400437545571,0.5008241358610572,0.5919060710516526,0.519390420018983,0.6906603001400696,-0.0041827028445985,0.5205208234326435,0.5205208234326435,68913.0,,,,,,,,,,1
XGBoost,Real Estate,0.4927308384222965,0.4929760006771785,0.5429332613545986,0.5114583355230322,0.5934854415245415,-0.0117331777873451,0.5235595665610357,0.4943335642819938,28908.0,,,,,,,,,,1
XGBoost,Technology,0.5105748079912342,0.5010002197864987,0.6191466367810412,0.5210088713289112,0.7646844072700627,0.0006155669973087,0.5257099766734903,0.5207272871072695,74119.0,,,,,,,,,,1
XGBoost,Utilities,0.5007947745587988,0.4970044236984495,0.5515900048325874,0.5221158763357828,0.587964314025345,-0.0067887299038342,0.5252836404191156,0.5252836404191156,29726.0,,,,,,,,,,1
