sector,ticker,model,acc,auc
Financial Services,AON,RF,0.5,0.4822800161703274
Industrials,AOS,LR,0.4777777777777778,0.5027715273585424
Industrials,AOS,RF,0.4925925925925926,0.49160309532956475
Energy,APA,LR,0.5336927223719676,0.531439393939394
Energy,APA,RF,0.5202156334231806,0.5311043123543124
Basic Materials,APD,LR,0.49295774647887325,0.4678269707171441
Basic Materials,APD,RF,0.4732394366197183,0.48313536174807853
Technology,APH,LR,0.5432098765432098,0.49649225945522246
Technology,APH,RF,0.5185185185185185,0.5136586321771506
Consumer Cyclical,APTV,LR,0.5350877192982456,0.5485978112175103
Consumer Cyclical,APTV,RF,0.49707602339181284,0.49221956224350205
Real Estate,ARE,LR,0.5208333333333334,0.5137117346938775
Real Estate,ARE,RF,0.5357142857142857,0.5092297335600907
Utilities,ATO,LR,0.5390070921985816,0.5202547770700637
Utilities,ATO,RF,0.4716312056737589,0.47485350318471337
Real Estate,AVB,LR,0.4880239520958084,0.47159932112808284
Real Estate,AVB,RF,0.49101796407185627,0.49734589968584125
Technology,AVGO,LR,0.5353075170842825,0.558322903629537
Technology,AVGO,RF,0.5193621867881549,0.5315394242803505
Consumer Cyclical,AVY,LR,0.475,0.44591585608812845
Consumer Cyclical,AVY,RF,0.465625,0.48107347943279033
Utilities,AWK,LR,0.5315315315315315,0.5028901734104047
Utilities,AWK,RF,0.5495495495495496,0.5335802023121388
Industrials,AXON,LR,0.5423728813559322,0.5564236111111112
Industrials,AXON,RF,0.5,0.5053530092592593
Financial Services,AXP,LR,0.4853273137697517,0.4848111658456486
Financial Services,AXP,RF,0.5033860045146726,0.5044745484400657
Consumer Cyclical,AZO,LR,0.4942857142857143,0.49273940345368916
Consumer Cyclical,AZO,RF,0.49714285714285716,0.5251995028780744
Industrials,BA,LR,0.5167785234899329,0.49639437522535157
Industrials,BA,RF,0.4519015659955257,0.49690517206842677
Financial Services,BAC,LR,0.5159090909090909,0.522656979761287
Financial Services,BAC,RF,0.48863636363636365,0.47840166061235084
Consumer Cyclical,BALL,LR,0.4429530201342282,0.44477625446812363
Consumer Cyclical,BALL,RF,0.40939597315436244,0.3948463870413104
Healthcare,BAX,LR,0.5203252032520326,0.5043570419218089
Healthcare,BAX,RF,0.4363143631436314,0.4622291568535092
Consumer Cyclical,BBWI,LR,0.4576923076923077,0.4893491124260355
Consumer Cyclical,BBWI,RF,0.5038461538461538,0.4957100591715976
Consumer Cyclical,BBY,LR,0.4563106796116505,0.452777712305843
Consumer Cyclical,BBY,RF,0.49029126213592233,0.4818511796733212
Healthcare,BDX,LR,0.47103274559193953,0.48783028455284555
Healthcare,BDX,RF,0.5465994962216625,0.5448043699186992
Financial Services,BEN,LR,0.5149425287356322,0.528200575004228
Financial Services,BEN,RF,0.5379310344827586,0.5466345340774563
Consumer Defensive,BF-B,LR,0.5192307692307693,0.533844241922121
Consumer Defensive,BF-B,RF,0.5416666666666666,0.5282104391052195
Consumer Defensive,BG,LR,0.512987012987013,0.5350340136054422
Consumer Defensive,BG,RF,0.44155844155844154,0.4354591836734694
Healthcare,BIIB,LR,0.5294117647058824,0.5038790619319945
Healthcare,BIIB,RF,0.48705882352941177,0.4860464600789112
Financial Services,BK,LR,0.5397196261682243,0.5245168539325843
Financial Services,BK,RF,0.5093457943925234,0.48691011235955056
Consumer Cyclical,BKNG,LR,0.5187032418952618,0.45402327807729126
Consumer Cyclical,BKNG,RF,0.5261845386533666,0.4889152012898676
Energy,BKR,LR,0.5230414746543779,0.5333418633911244
Energy,BKR,RF,0.4792626728110599,0.4646109227390015
Industrials,BLDR,LR,0.4878048780487805,0.4699088145896657
Industrials,BLDR,RF,0.45121951219512196,0.451063829787234
Financial Services,BLK,LR,0.5179372197309418,0.4864091559370529
Financial Services,BLK,RF,0.515695067264574,0.47477281428197227
Healthcare,BMY,LR,0.4762979683972912,0.46710311633219115
Healthcare,BMY,RF,0.4785553047404063,0.47723935389133626
Technology,BR,LR,0.47305389221556887,0.47478479196556667
Technology,BR,RF,0.5179640718562875,0.5178802008608321
Financial Services,BRK-B,LR,0.5167464114832536,0.49647919734904267
Financial Services,BRK-B,RF,0.5311004784688995,0.544286174521355
Financial Services,BRO,LR,0.5275229357798165,0.4677991886409736
Financial Services,BRO,RF,0.4908256880733945,0.48360378634212303
Healthcare,BSX,LR,0.555,0.5354619736015085
Healthcare,BSX,RF,0.4825,0.4803771213073539
Consumer Cyclical,BWA,LR,0.534965034965035,0.5477308294209703
Consumer Cyclical,BWA,RF,0.5699300699300699,0.5440629890453834
Financial Services,BX,LR,0.4294478527607362,0.4797235023041474
Financial Services,BX,RF,0.4233128834355828,0.4614439324116743
Real Estate,BXP,LR,0.46920821114369504,0.5024499654934438
Real Estate,BXP,RF,0.5161290322580645,0.5491718426501034
Financial Services,C,LR,0.4696629213483146,0.4602448979591837
Financial Services,C,RF,0.5438202247191011,0.5373469387755102
Consumer Defensive,CAG,LR,0.5431754874651811,0.532337379396203
Consumer Defensive,CAG,RF,0.49025069637883006,0.49295051353874886
Healthcare,CAH,LR,0.5457063711911357,0.4809871568874339
Healthcare,CAH,RF,0.5872576177285319,0.5570385293376983
Industrials,CARR,LR,0.49693251533742333,0.5147552104925941
Industrials,CARR,RF,0.5306748466257669,0.5415331850902649
Industrials,CAT,LR,0.5221674876847291,0.5228053086570073
Industrials,CAT,RF,0.5172413793103449,0.49478874954340674
Financial Services,CB,LR,0.5153061224489796,0.4868131868131868
Financial Services,CB,RF,0.4846938775510204,0.47107535321821037
Financial Services,CBOE,LR,0.49868766404199477,0.5004419889502763
Financial Services,CBOE,RF,0.49343832020997375,0.4947651933701657
Real Estate,CBRE,LR,0.5047619047619047,0.5015840455840456
Real Estate,CBRE,RF,0.49047619047619045,0.4817777777777777
Real Estate,CCI,LR,0.48787878787878786,0.4647882149810808
Real Estate,CCI,RF,0.5363636363636364,0.5199294662209324
Consumer Cyclical,CCL,LR,0.4863636363636364,0.48160327604392883
Consumer Cyclical,CCL,RF,0.5045454545454545,0.5081280635353974
Technology,CDNS,LR,0.46153846153846156,0.4303850899409052
Technology,CDNS,RF,0.5185185185185185,0.5286869277225793
Technology,CDW,LR,0.4962686567164179,0.4843706469047751
Technology,CDW,RF,0.503731343283582,0.5131219702457235
Basic Materials,CE,LR,0.493006993006993,0.49651413982717996
Basic Materials,CE,RF,0.5,0.509794776119403
Utilities,CEG,LR,0.5303867403314917,0.4966863033873343
Utilities,CEG,RF,0.5027624309392266,0.47477908689248893
Basic Materials,CF,LR,0.5167173252279635,0.5275862068965518
Basic Materials,CF,RF,0.48936170212765956,0.48691904047976015
Financial Services,CFG,LR,0.4774011299435028,0.5002243014611638
Financial Services,CFG,RF,0.4576271186440678,0.4526243270956165
Consumer Defensive,CHD,LR,0.5142857142857142,0.47805920787287254
Consumer Defensive,CHD,RF,0.5015873015873016,0.4878196337823667
Industrials,CHRW,LR,0.5,0.465962441314554
Industrials,CHRW,RF,0.5,0.48591549295774644
Communication Services,CHTR,LR,0.5077720207253886,0.4745475113122172
Communication Services,CHTR,RF,0.49222797927461137,0.47105957767722473
Healthcare,CI,LR,0.4909090909090909,0.48112647154120314
Healthcare,CI,RF,0.4857142857142857,0.4998514958418836
Financial Services,CINF,LR,0.5166666666666667,0.5018168604651163
Financial Services,CINF,RF,0.47,0.4701807776162791
