model,Sector,fold,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
XGBoost,Consumer Cyclical,1,0.5021645021645021,0.4967348994623556,0.5639888404034623,0.51055562750939,0.6299137104506232,-0.0015516859813398138,0.5111492281303602,0.5111492281303602,12243.0,,,,,,,,,,1
LSTM,Consumer Cyclical,1,0.5122600669770481,0.5047250650328816,0.6493758717087743,0.5132639227310409,0.8866410993927772,0.01272892657387691,0.5111492281303602,0.5111492281303602,12243.0,0.00197522162871083,0.0027856487677137935,0.01926976340273112,0.0006473160798029729,0.07043270257746186,0.004785217744181569,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,2,0.5135567402894136,0.5068131349316478,0.5868960610568528,0.5108083764917811,0.6896184830521356,0.028173928678852763,0.501066260472201,0.501066260472201,13130.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,2,0.503046458492003,0.4986363613899515,0.5379222434671765,0.5035799522673031,0.5772913816689467,0.0058406082296894824,0.501066260472201,0.501066260472201,13130.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,2,0.4993907083015994,0.4986739028389712,0.5501950318209813,0.5003734129947722,0.6110351117191063,-0.001739882128891737,0.501066260472201,0.501066260472201,13130.0,,,,,,,,,,1
LSTM,Consumer Cyclical,2,0.5121553693830921,0.511798855143581,0.6270444025278126,0.5082039248470557,0.8210062319501444,0.03024231339585299,0.501066260472201,0.501066260472201,13130.0,0.002720894222850474,0.0031666775321680376,0.018565735338304606,0.0018125084614344508,0.06457557026356577,0.007750836375561105,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,3,0.5110387547649301,0.5101935875084508,0.6112759643916914,0.5162631971846006,0.7491488703187867,0.010524579478163026,0.5131829733163914,0.5131829733163914,12592.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,3,0.5042884371029225,0.5047567457991329,0.5475500144969556,0.514998636487592,0.5844939647168059,0.004290189220168811,0.5131829733163914,0.5131829733163914,12592.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,3,0.5092916137229987,0.5034390789067774,0.5807152066227862,0.5170996978851964,0.6621788919839059,0.010849182382356567,0.5131829733163914,0.5131829733163914,12592.0,,,,,,,,,,1
LSTM,Consumer Cyclical,3,0.5110228716645489,0.5130360021670168,0.6024965622741192,0.516800429802706,0.725719591457753,0.011870988177799247,0.5131829733163914,0.5131829733163914,12592.0,0.002895890387700656,0.0034349913168862135,0.025666468375889262,0.0012399617192323743,0.0723841709296081,0.00421079142982751,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,4,0.5086757243411361,0.4938561146290296,0.6253978159126365,0.5184687015002587,0.7878930817610063,-0.008080533805905423,0.5205434604681617,0.5205434604681617,12218.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,4,0.5028646259616959,0.4991479694488643,0.552196992037747,0.5198500832870627,0.5888364779874213,-0.0016636467332866662,0.5205434604681617,0.5205434604681617,12218.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,4,0.5135046652479948,0.5051961141136885,0.5924859454271219,0.5252856795526379,0.6794025157232705,0.013626288494257732,0.5205434604681617,0.5205434604681617,12218.0,,,,,,,,,,1
LSTM,Consumer Cyclical,4,0.5083319692257324,0.49764796998567784,0.6155171886993749,0.5189900354798171,0.7573270440251572,-0.005462175655271151,0.5205434604681617,0.5205434604681617,12218.0,0.002651749391131372,0.0028032886118441232,0.014518157444467439,0.0009890028744229834,0.044763104369957646,0.0031626545426946266,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,5,0.5025272678903964,0.5046652570416245,0.6206896551724138,0.5038419319429198,0.8080985915492958,0.0006638222175367019,0.5036800567526825,0.5036800567526825,11277.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,5,0.49906890130353815,0.5003500837974065,0.545571554983509,0.5022959561546437,0.5970070422535211,-0.0033809301209481103,0.5036800567526825,0.5036800567526825,11277.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,5,0.4969406757116254,0.5004143158935748,0.579871139746723,0.5004473986961524,0.6892605633802817,-0.009730317823515253,0.5036800567526825,0.5036800567526825,11277.0,,,,,,,,,,1
LSTM,Consumer Cyclical,5,0.5028465017291832,0.5054884973589976,0.6048258994960352,0.5043520422530652,0.7562676056338028,0.002122637594228064,0.5036800567526825,0.5036800567526825,11277.0,0.003219686195944916,0.007118446758315369,0.01190111277522666,0.0022159280953613497,0.03834889367765826,0.0076782744853571665,0.0,0.0,0.0,5
LogisticRegression,Technology,1,0.5386254241300402,0.513432561420172,0.6720143602400853,0.5438532776466316,0.8792015264934684,0.032318023433888676,0.5375996212420106,0.5375996212420106,12673.0,,,,,,,,,,1
RandomForest,Technology,1,0.5159788526789237,0.5022528577919446,0.6132408575031526,0.5375262517961755,0.7137824746807574,-0.00023244224776083257,0.5375996212420106,0.5375996212420106,12673.0,,,,,,,,,,1
XGBoost,Technology,1,0.519845340487651,0.5049368327665089,0.619853813956394,0.5395910376332391,0.7281667400557758,0.0064930469798560346,0.5375996212420106,0.5375996212420106,12673.0,,,,,,,,,,1
LSTM,Technology,1,0.5376154028249033,0.5114887744720117,0.684943964023001,0.5404365776686524,0.9355056509613974,0.020212331333031276,0.5375996212420106,0.5375996212420106,12673.0,0.0023864915703418433,0.0033113362693978714,0.007611831870552798,0.0015127882056856937,0.031031636904913118,0.010238019483093014,0.0,0.0,0.0,5
LogisticRegression,Technology,2,0.4810942909510556,0.4920614262876396,0.6106356968215159,0.4814457831325301,0.8345864661654135,-0.02849956009426549,0.5124567239155522,0.48754327608444775,14731.0,,,,,,,,,,1
RandomForest,Technology,2,0.48747539203041207,0.49284534211258557,0.5793871866295265,0.48291233283803864,0.7240323029796714,-0.01527178362861745,0.5124567239155522,0.48754327608444775,14731.0,,,,,,,,,,1
XGBoost,Technology,2,0.48618559500373365,0.4924145171807811,0.6010226134626535,0.48358639409619136,0.7937900306321359,-0.015846562357485956,0.5124567239155522,0.48754327608444775,14731.0,,,,,,,,,,1
LSTM,Technology,2,0.48040187359989134,0.5002974772560845,0.6155984442773893,0.4814630025952849,0.8535505430242273,-0.031003519680069626,0.5124567239155522,0.4875432760844477,14731.0,0.0023052609167958944,0.003172786059177205,0.0046919994154715145,0.0011428965937076315,0.018285002022434865,0.007111896255436757,0.0,0.0,0.0,5
LogisticRegression,Technology,3,0.5163228519927899,0.5051093815173762,0.655410225921522,0.5245527217358203,0.8732572877059569,-0.01167831918229543,0.5267374324053675,0.5267374324053675,14979.0,,,,,,,,,,1
RandomForest,Technology,3,0.5037051872621671,0.4981850529417665,0.5807579517256937,0.5231660231660231,0.6525982256020278,-0.009900983717569931,0.5267374324053675,0.5267374324053675,14979.0,,,,,,,,,,1
XGBoost,Technology,3,0.5134521663662461,0.5020284555178491,0.6199812284909793,0.526665485471297,0.7534854245880862,-0.0002520000346605059,0.5267374324053675,0.5267374324053675,14979.0,,,,,,,,,,1
LSTM,Technology,3,0.520435276053141,0.5011240267459482,0.656693529506408,0.5270293538946667,0.8777186311787073,-0.0014528388891302292,0.5267374324053675,0.5267374324053675,14979.0,0.0037864236953466007,0.005434315094792036,0.029151944105557295,0.0018548179406910057,0.10545593084016147,0.009793121749226617,0.0,0.0,0.0,5
LogisticRegression,Technology,4,0.528122998078155,0.5091491230838285,0.6663949275362319,0.5306932121474428,0.8953389314835098,0.024259053375285458,0.5263933376040999,0.5263933376040999,15610.0,,,,,,,,,,1
RandomForest,Technology,4,0.5081998718770019,0.504344476842069,0.5805147259712584,0.5267750892502975,0.6464646464646465,0.0010328275244603482,0.5263933376040999,0.5263933376040999,15610.0,,,,,,,,,,1
XGBoost,Technology,4,0.5163997437540039,0.500931919373982,0.6241099437335059,0.5281476487443115,0.7626871120847024,0.006254992303987793,0.5263933376040999,0.5263933376040999,15610.0,,,,,,,,,,1
LSTM,Technology,4,0.5220499679692505,0.5044539087451709,0.65987585471517,0.5274456344826923,0.8823414871607642,0.007617776319032395,0.5263933376040999,0.5263933376040999,15610.0,0.005559231639915595,0.003273709906968446,0.015062604714039397,0.0019161960705763263,0.04933929849525305,0.01151026899212552,0.0,0.0,0.0,5
LogisticRegression,Technology,5,0.5218901153416843,0.5163134102827359,0.6595124536301007,0.5268839966130398,0.8813739376770539,0.008204217653009946,0.5253627682004217,0.5253627682004217,16126.0,,,,,,,,,,1
RandomForest,Technology,5,0.5032866178841622,0.49912244932075245,0.5805843543826579,0.5217391304347826,0.6543909348441926,-0.010086437255160407,0.5253627682004217,0.5253627682004217,16126.0,,,,,,,,,,1
XGBoost,Technology,5,0.5169911943445368,0.5046893740933722,0.6307655842616734,0.5270537906995167,0.7852927289896129,0.006428358094846404,0.5253627682004217,0.5253627682004217,16126.0,,,,,,,,,,1
LSTM,Technology,5,0.5201041795857622,0.5082816128284865,0.6344408273955022,0.5286877958906377,0.7953021718602455,0.013973927582208862,0.5253627682004217,0.5253627682004217,16126.0,0.005763982794983789,0.00395011517239733,0.02123888398230726,0.001892103789088183,0.062148689054992136,0.008143320552956489,0.0,0.0,0.0,5
LogisticRegression,Financial Services,1,0.5248678893378924,0.5232322810875074,0.6004443863547249,0.5501796407185628,0.6608170310701956,0.027072699513700095,0.5402548958657134,0.5402548958657134,12868.0,,,,,,,,,,1
