model,Sector,seed,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,train_major,auc_fold_sd,n_folds,n
LSTM,Technology,0,0.5178558225441547,0.5050637639317591,0.6590529591627663,0.5213674907109191,0.8967265946728391,0.0024700536156619,0.5257099766734903,0.5207272871072695,0.5281336551556215,0.0076235693041226,5,74119
LSTM,Technology,1,0.5160773652088821,0.5051049375474049,0.6494197767865187,0.5211578631751899,0.8665372721860052,0.0015536430683397,0.5257099766734903,0.5207272871072695,0.5281336551556215,0.0027330737947432,5,74119
LSTM,Technology,2,0.5117492291310333,0.5056935329162344,0.6418087058621436,0.5193179414369532,0.844939524530805,-0.0076317550349879,0.5257099766734903,0.5207272871072695,0.5281336551556215,0.0063391801652055,5,74119
LSTM,Technology,3,0.5200889605394942,0.5046880931932856,0.662410675109965,0.5218519477540344,0.908344965072185,0.0090252496416654,0.5257099766734903,0.5207272871072695,0.5281336551556215,0.0060447140128426,5,74119
LSTM,Technology,4,0.514835322609384,0.505095472459018,0.6388605029960768,0.5213671214548373,0.8278701277235074,0.0039304853743934,0.5257099766734903,0.5207272871072695,0.5281336551556215,0.0068340237717272,5,74119
LSTM,Utilities,0,0.5051872875963062,0.4974873440578142,0.5906345864772655,0.5225231452920291,0.6808359687076987,-0.0073519601769434,0.5252836404191156,0.5252836404191156,0.5161146401447971,0.0221530028385614,5,29726
LSTM,Utilities,1,0.491210123374543,0.4896294323329015,0.4694085941373782,0.5292928088836147,0.5505077184661058,-0.0135862160980918,0.5252836404191156,0.5252836404191156,0.5161146401447971,0.0083604761119564,5,29726
LSTM,Utilities,2,0.5072082594363263,0.4896817230747719,0.6047872427513988,0.5212023007895631,0.7284245344720514,-0.0120171207276491,0.5252836404191156,0.5252836404191156,0.5161146401447971,0.0186931197025138,5,29726
LSTM,Utilities,3,0.4957556085939624,0.4927955665032399,0.4712481656490127,0.5646015458908178,0.5474070693023303,-0.010078198214477,0.5252836404191156,0.5252836404191156,0.5161146401447971,0.0189127229984995,5,29726
LSTM,Utilities,4,0.5030982127495329,0.4947005722521593,0.5624859468012312,0.523348951461326,0.6230061574005725,-0.004945273074656,0.5252836404191156,0.5252836404191156,0.5161146401447971,0.0169207116779021,5,29726
