model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LSTM,Consumer Cyclical,0.5094760820045557,0.506132742825959,0.6213617837822318,0.5123220545639379,0.7898082261718626,0.009383753545198669,0.5099088838268793,0.5099088838268793,61460.0,0.0015236230227238716,0.002069562664167248,0.008692853581092955,0.000724014552736428,0.02736418357484513,0.003109840652160194,0.0,0.0,0.0,5
LogisticRegression,Technology,0.5168310419730433,0.5047166658049578,0.6530113944655453,0.521366463471238,0.8735936122777,0.004875688214189364,0.5204333571688771,0.5204333571688771,74119.0,,,,,,,,,,1
RandomForest,Technology,0.503433667480673,0.498102845773823,0.5861863482533365,0.5175611015148808,0.6757919842380878,-0.008372188473362793,0.5204333571688771,0.5204333571688771,74119.0,,,,,,,,,,1
XGBoost,Technology,0.5105168715174246,0.4985617467382316,0.6194432206767785,0.5202078928823115,0.7654637838958884,-0.0008160740259923531,0.5204333571688771,0.5204333571688771,74119.0,,,,,,,,,,1
LSTM,Technology,0.5156842375099502,0.49886391311793066,0.6503605834178015,0.5208398175942757,0.8663089127391507,0.0026095328802226447,0.5204333571688771,0.5204333571688771,74119.0,0.003242207475205723,0.001306271414516639,0.010726685919909065,0.0012654039284652175,0.03579708360223392,0.0067262961892333,0.0,0.0,0.0,5
LogisticRegression,Financial Services,0.5167409438921267,0.4994919185428592,0.6344146441615699,0.5270102870684548,0.7968024755028366,0.003044518155071917,0.5262398583019083,0.5262398583019083,70008.0,,,,,,,,,,1
RandomForest,Financial Services,0.5087275739915438,0.501442631264414,0.5718802514470654,0.5281418126638157,0.6235172769468799,0.004878721319318458,0.5262398583019083,0.5262398583019083,70008.0,,,,,,,,,,1
XGBoost,Financial Services,0.5126699805736488,0.5042744375293713,0.5953818237882328,0.5286869708075319,0.6813332971417714,0.007114566106376763,0.5262398583019083,0.5262398583019083,70008.0,,,,,,,,,,1
LSTM,Financial Services,0.5151439835447377,0.4992401843348195,0.6264473395062773,0.5267363318421017,0.7739420754051193,0.002105920763984578,0.5262398583019083,0.5262398583019083,70008.0,0.003955264577098247,0.002509339251208142,0.015231851556833136,0.001556581494353678,0.04585527205414829,0.005704395310643495,0.0,0.0,0.0,5
LogisticRegression,Consumer Defensive,0.5104926289281779,0.5034685690209264,0.646511716012199,0.5126010032741581,0.8751282051282051,0.005699767380912554,0.5115156602486753,0.5115156602486753,38122.0,,,,,,,,,,1
