model,Sector,seed,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,train_major,n
LogisticRegression,Utilities,0,0.5094530041041513,0.4910246051562741,0.6219537488333506,0.5222256084287518,0.7687624174838172,-0.009851850626729051,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
RandomForest,Utilities,0,0.5039695889120636,0.501279762679059,0.553736267062135,0.5246014451198532,0.5862975068897007,-0.0006979619721881814,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
XGBoost,Utilities,0,0.5009755769360156,0.4971203116098917,0.5534886520980073,0.5218230319541404,0.5892456578863039,-0.007418586106348463,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LSTM,Utilities,0,0.50437327592007,0.49133860104000443,0.5901009932392955,0.5213864306784661,0.6796769851951547,-0.010339853461651557,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LSTM,Utilities,1,0.49195990042387133,0.48538928834598805,0.5381651376146789,0.5146516932795228,0.5639300134589502,-0.02386401727839781,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LSTM,Utilities,2,0.5065599138801049,0.4905585112411525,0.6058896233005535,0.5216284987277354,0.7226174453630712,-0.010674892084921105,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LSTM,Utilities,3,0.49653501984794457,0.4947655319436066,0.539082229750539,0.5188830260271536,0.5609177722232904,-0.013785782904983937,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LSTM,Utilities,4,0.5035322613200565,0.49283004575093725,0.5711379751249565,0.5224626508586315,0.6298147792091264,-0.006390770329323746,0.5248940321603983,0.5248940321603983,0.516393323778849,29726
LogisticRegression,Basic Materials,0,0.4976050362665937,0.49655790870693917,0.5727586608216627,0.5040628200751109,0.6631333093783687,-0.010672187506248333,0.507823548195794,0.507823548195794,0.5119909433416585,21921
RandomForest,Basic Materials,0,0.4981980749053419,0.4973471802754079,0.5380480430035276,0.5052050473186119,0.5754581386992454,-0.006135303229751384,0.507823548195794,0.507823548195794,0.5119909433416585,21921
XGBoost,Basic Materials,0,0.4993841521828384,0.4972774485478099,0.5408752405656431,0.5061863743148003,0.5806683435141933,-0.0038684692144326308,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LSTM,Basic Materials,0,0.5124766205921263,0.508253934359822,0.6311138724931828,0.5124726722349907,0.8212360761767876,0.01944030402853472,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LSTM,Basic Materials,1,0.4962821039186168,0.49782782129907205,0.5359334285954442,0.5035539409256041,0.5727632051742724,-0.009987118628727447,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LSTM,Basic Materials,2,0.5012545048127366,0.4978693522671029,0.6101900381502477,0.5058823529411764,0.7686848724398132,-0.0071374481460708085,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LSTM,Basic Materials,3,0.498608640116783,0.495754212037806,0.5488280448257461,0.5053292009978079,0.6005210204814948,-0.0061552219911092795,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LSTM,Basic Materials,4,0.5042196980064778,0.5013011815477143,0.5859494056690033,0.5087324689071183,0.690801293568092,0.002709652156660971,0.507823548195794,0.507823548195794,0.5119909433416585,21921
LogisticRegression,Real Estate,0,0.49605645496056455,0.48285807281795745,0.6052460437892911,0.5067380552656654,0.7512949882273797,-0.02680557993284232,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
RandomForest,Real Estate,0,0.49768230247682305,0.48842899489983665,0.5417363587591125,0.5102247057424801,0.5773965691220989,-0.009425014171687215,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
XGBoost,Real Estate,0,0.4922858724228587,0.4859327146147797,0.5468243431006268,0.5053646843967584,0.5956945845946855,-0.021973243751268513,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LSTM,Real Estate,0,0.49633319496333195,0.48364026026543483,0.608433734939759,0.5068327434024822,0.7609821728893373,-0.02719383616274562,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LSTM,Real Estate,1,0.4919053549190536,0.4803575985047511,0.5893076837042837,0.5042346523757117,0.7089135553313152,-0.032265207112216816,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LSTM,Real Estate,2,0.4964715649647157,0.48096708588504977,0.6011617711530031,0.5071425269289446,0.737975109317188,-0.024405832519576162,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LSTM,Real Estate,3,0.495848899958489,0.48458180401605855,0.614974109690373,0.5063296645930309,0.7829801547258661,-0.03109625362633863,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LSTM,Real Estate,4,0.495848899958489,0.4830403657365002,0.5865531914893617,0.5071376011773363,0.6954591321897073,-0.02190750343958285,0.5142175176421752,0.4962640099626401,0.5128852013165635,28908
LogisticRegression,Energy,0,0.4979904487209797,0.48216156932665377,0.5840222544371743,0.517030870620881,0.6709578682030969,-0.02401033877029872,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
RandomForest,Energy,0,0.5023878197550712,0.4987562696222406,0.5159598932940852,0.5274590934737634,0.5049513863881887,0.004497560238180959,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
XGBoost,Energy,0,0.49647737481677623,0.4964424891075865,0.5149624231382373,0.5211579238499124,0.5089124954987396,-0.0083587809652274,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LSTM,Energy,0,0.5065014894321245,0.4926148801795964,0.6033821014630439,0.5220622081935951,0.7147101188332733,-0.010134829015149189,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LSTM,Energy,1,0.5050829826469336,0.4959200631749044,0.5849228694928025,0.5227159968814232,0.6639359020525747,-0.007115103557862394,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LSTM,Energy,2,0.5130266206440021,0.4982697291483026,0.6226504964642948,0.5249922767995057,0.764944184371624,-0.0008443351218102656,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LSTM,Energy,3,0.5046574306113765,0.49681895693267975,0.5832935560859188,0.5225199543899658,0.6600648181490817,-0.007608418013927808,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LSTM,Energy,4,0.5053666840039718,0.49337828335584993,0.5873209988559707,0.5227161013973738,0.670147641339575,-0.007215981833621547,0.5252257789966429,0.513546739798572,0.5136350869167812,21149
LogisticRegression,Communication Services,0,0.507254536792412,0.49724200677049457,0.6089974911502904,0.512286788089043,0.7507202169123878,0.003920429673737632,0.5111524968599767,0.5111524968599767,0.5140276175771832,23089
RandomForest,Communication Services,0,0.5055654207631339,0.5036041023721084,0.5469481704897214,0.5144072857569424,0.5838840874428063,0.007654544372560094,0.5111524968599767,0.5111524968599767,0.5140276175771832,23089
XGBoost,Communication Services,0,0.5096799341677856,0.5061490134305615,0.5483343307400758,0.5181331523787982,0.5822741908151161,0.01622432987852593,0.5111524968599767,0.5111524968599767,0.5140276175771832,23089
LSTM,Communication Services,0,0.5057819741002209,0.4946105513723852,0.6100003417751803,0.5111989459815547,0.75614302660566,0.0001635946301405632,0.5111524968599767,0.5111524968599767,0.5140276175771832,23089
